צורת יישוב,שם יישוב,סמל יישוב,אזור סטטיסטי,אוכלוסייה בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,"ישראלים יוצאים לחו""ל","ישראלים חוזרים מחו""ל","מאזן ישראלים יוצאים לחו""ל וחוזרים מחו""ל",הגירה בתוך יישוב בתוך אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בתוך אזורים סטטיסטיים - נכנסים,הגירה בתוך יישוב בין אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בין אזורים סטטיסטיים - נכנסים,מאזן הגירה בתוך יישוב בין אזורים סטטיסטיים,הגירה בין יישובים - יוצאים,הגירה בין יישובים - נכנסים,מאזן הגירה בין יישובים,"סה""כ גידול",אוכלוסייה בסוף שנה,אחוז גידול שנתי
,ירושלים,3000,1147,"3,744",46,24,22,..,..,-,4,4,25,25,136,124,-12,121,42,-79,-89,"3,655",-2.39%
,ירושלים,3000,1211,"2,399",52,20,32,..,4,6,-,-6,22,22,164,53,-111,69,43,-26,-95,"2,304",-3.95%
,ירושלים,3000,1212,"3,185",78,26,52,..,..,..,8,7,48,48,131,97,-34,113,62,-51,-26,"3,159",-0.82%
,ירושלים,3000,1213,"2,549",50,13,37,26,..,..,-,..,22,22,102,64,-38,48,45,..,11,"2,560",0.43%
,ירושלים,3000,1214,"2,716",52,23,29,16,..,..,..,-,9,9,107,69,-38,76,39,-37,-25,"2,691",-0.91%
,ירושלים,3000,1215,"5,424",121,47,74,11,-,16,..,-14,53,53,235,268,33,180,90,-90,18,"5,442",0.32%
,ירושלים,3000,1216,"4,214",75,31,44,20,-,10,13,..,25,25,178,155,-23,106,63,-43,-7,"4,208",-0.16%
,ירושלים,3000,1217,"4,185",86,43,43,6,..,13,11,..,42,42,182,200,18,155,74,-81,-28,"4,157",-0.67%
,ירושלים,3000,1221,"6,666",169,20,149,30,-,..,7,4,217,217,193,153,-40,141,118,-23,204,"6,870",3.05%
,ירושלים,3000,1222,"5,211",79,40,39,41,..,15,4,-11,28,28,222,205,-17,170,111,-59,-192,"5,019",-3.69%
,ירושלים,3000,1223,"3,894",58,29,29,19,..,15,9,-6,38,38,178,202,24,136,91,-45,-211,"3,683",-5.42%
,ירושלים,3000,1311,"2,525",69,25,44,13,-,6,7,..,16,16,185,122,-63,88,70,-18,-52,"2,473",-2.06%
,ירושלים,3000,1312,"3,381",52,31,21,23,-,14,6,-8,13,13,132,146,14,98,67,-31,35,"3,416",1.04%
,ירושלים,3000,1313,"1,974",43,17,26,9,..,..,9,6,4,4,128,113,-15,78,50,-28,-60,"1,914",-3.03%
,ירושלים,3000,1314,"1,972",36,27,9,35,..,10,..,-7,11,11,136,153,17,79,60,-19,36,"2,007",1.82%
,ירושלים,3000,1321,"2,119",50,24,26,47,..,7,4,..,37,37,168,202,34,120,120,-,61,"2,180",2.87%
,ירושלים,3000,1322,"1,042",17,14,..,40,..,12,6,-6,11,11,89,86,..,58,85,27,63,"1,105",6.05%
,ירושלים,3000,1333,"1,959",23,38,-15,25,..,..,6,..,5,5,113,91,-22,58,43,-15,-20,"1,939",-1.02%
,ירושלים,3000,1334,"2,504",35,32,..,34,-,9,10,..,17,17,105,104,..,63,35,-28,-4,"2,500",-0.15%
,ירושלים,3000,1335,"3,118",69,28,41,73,-,..,8,5,29,29,212,189,-23,135,67,-68,-116,"3,002",-3.71%
,ירושלים,3000,1336,"1,094",13,12,..,28,-,5,..,..,13,13,60,202,142,50,44,-6,148,"1,242",13.54%
,ירושלים,3000,1337,"2,830",47,26,21,38,..,6,7,..,23,23,90,349,259,43,121,78,350,"3,179",12.36%
,ירושלים,3000,1341,"3,192",32,32,-,27,-,7,6,..,37,37,195,149,-46,78,29,-49,-61,"3,132",-1.90%
,ירושלים,3000,1342,"4,630",62,65,..,26,..,20,7,-13,50,50,285,242,-43,142,73,-69,-97,"4,533",-2.09%
,ירושלים,3000,1343,"3,668",59,16,43,43,4,11,7,-4,40,40,152,361,209,123,87,-36,251,"3,918",6.84%
,ירושלים,3000,1344,"3,213",68,27,41,12,..,4,9,5,40,40,190,141,-49,71,63,-8,29,"3,242",0.91%
,ירושלים,3000,1345,"1,683",46,13,33,15,..,..,-,..,..,..,49,88,39,64,32,-32,83,"1,766",4.93%
,ירושלים,3000,1346,"2,067",31,18,13,14,-,-,..,..,27,27,91,120,29,50,19,-31,30,"2,097",1.46%
,ירושלים,3000,1351,"4,311",67,14,53,11,..,6,..,..,74,74,213,148,-65,191,86,-105,-60,"4,251",-1.40%
,ירושלים,3000,1352,"2,755",33,14,19,139,..,16,7,-9,22,22,118,97,-21,51,21,-30,-41,"2,714",-1.48%
,ירושלים,3000,1353,"2,470",38,18,20,..,6,..,..,..,9,9,91,67,-24,71,30,-41,-37,"2,434",-1.48%
,ירושלים,3000,1354,"2,478",32,34,..,8,..,5,..,-4,13,13,100,120,20,55,27,-28,22,"2,500",0.87%
,ירושלים,3000,1355,"2,950",32,15,17,10,..,..,..,-,16,16,106,96,-10,73,42,-31,-34,"2,916",-1.16%
,ירושלים,3000,1622,"17,453",328,44,284,37,-,15,10,-5,257,257,428,443,15,343,168,-175,222,"17,676",1.27%
,ירושלים,3000,1623,"7,308",188,12,176,13,-,8,..,-5,139,139,240,377,137,177,115,-62,252,"7,560",3.45%
,ירושלים,3000,1631,"3,558",126,18,108,15,-,10,..,-9,47,47,199,182,-17,91,65,-26,83,"3,642",2.34%
,ירושלים,3000,1632,"5,940",101,37,64,5,-,21,..,-18,55,55,233,236,..,158,85,-73,6,"5,946",0.11%
,ירושלים,3000,1633,"5,675",124,41,83,8,-,8,..,-6,54,54,268,191,-77,156,62,-94,-54,"5,621",-0.95%
,ירושלים,3000,1634,"4,809",80,26,54,6,5,9,..,-7,53,53,244,189,-55,112,56,-56,-57,"4,752",-1.19%
,ירושלים,3000,1641,"3,553",68,18,50,..,-,7,6,..,20,20,160,146,-14,83,57,-26,39,"3,592",1.10%
,ירושלים,3000,1642,"2,945",52,15,37,..,..,10,6,-4,17,17,138,127,-11,61,30,-31,..,"2,947",0.05%
,ירושלים,3000,1643,"2,694",61,12,49,-,..,7,..,-6,19,19,172,136,-36,67,47,-20,..,"2,690",-0.12%
,ירושלים,3000,1644,"1,806",33,10,23,-,-,-,..,..,29,29,48,583,535,39,54,15,574,"2,380",31.76%
,ירושלים,3000,2111,"35,915","1,121",53,"1,068",-,315,34,18,-16,239,239,342,"2,129","1,787",63,63,-,"3,114","39,029",8.67%
,ירושלים,3000,2112,"43,445",919,124,795,..,110,49,44,-5,442,442,"1,089","1,165",76,83,42,-41,889,"44,333",2.05%
,ירושלים,3000,2211,"23,581",544,86,458,-,50,15,21,6,220,220,808,598,-210,34,22,-12,305,"23,886",1.29%
,ירושלים,3000,2212,"22,258",636,53,583,4,62,4,5,..,41,41,390,478,88,56,16,-40,654,"22,912",2.94%
,ירושלים,3000,2213,"11,336",370,21,349,..,44,..,..,-,22,22,179,497,318,12,28,16,737,"12,074",6.50%
,ירושלים,3000,2311,"19,591",491,56,435,-,45,6,14,8,58,58,542,544,..,36,22,-14,551,"20,142",2.81%
,ירושלים,3000,2312,"29,503",654,93,561,..,52,21,12,-9,203,203,597,636,39,40,48,8,590,"30,093",2.00%
,ירושלים,3000,2411,"13,875",244,71,173,-,13,20,14,-6,65,65,494,242,-252,25,7,-18,-79,"13,796",-0.57%
,ירושלים,3000,2412,"6,250",129,31,98,5,11,7,5,..,29,29,222,172,-50,9,4,-5,81,"6,331",1.29%
,ירושלים,3000,2511,"22,339",442,97,345,-,16,18,15,..,136,136,"1,146",213,-933,47,17,-30,-488,"21,851",-2.18%
,ירושלים,3000,2512,"3,012",77,13,64,20,-,8,7,..,33,33,152,176,24,43,42,..,229,"3,241",7.61%
,ירושלים,3000,2513,"2,231",42,20,22,8,4,..,..,..,17,17,102,52,-50,21,10,-11,-67,"2,164",-3.02%
,ירושלים,3000,2514,"3,942",42,34,8,-,4,4,5,..,21,21,117,62,-55,8,..,-6,-69,"3,872",-1.76%
,ירושלים,3000,2611,"19,514",460,70,390,-,38,4,6,..,460,460,863,426,-437,55,21,-34,61,"19,574",0.31%
,ירושלים,3000,2612,"12,373",292,27,265,-,31,..,..,-,222,222,428,261,-167,19,11,-8,119,"12,492",0.96%
,ירושלים,3000,2613,"21,220",512,64,448,-,48,12,13,..,71,71,797,558,-239,37,51,14,60,"21,280",0.28%
,ירושלים,3000,2711,"25,369",721,58,663,-,57,5,12,7,416,416,398,393,-5,23,30,7,774,"26,143",3.05%
,ירושלים,3000,2811,"19,191",552,49,503,-,26,..,4,..,212,212,291,267,-24,12,4,-8,566,"19,757",2.95%
,ירושלים,3000,2812,"4,668",126,7,119,-,7,-,4,4,38,38,85,151,66,-,7,7,195,"4,863",4.18%
,ירושלים,3000,2911,"14,318",327,36,291,-,60,6,17,11,349,349,209,342,133,36,21,-15,505,"14,823",3.52%
,אשדוד,70,0,-,-,9,-9,..,-,-,-,-,-,-,-,..,..,-,-,-,-,-,0.00%
,אשדוד,71,112,63,-,-,-,..,-,-,-,-,-,-,..,..,..,..,..,..,-8,55,-12.23%
,אשדוד,72,122,"2,826",31,61,-30,58,5,39,5,-34,52,52,151,297,146,83,131,48,187,"3,013",6.61%
,אשדוד,73,123,"4,040",62,38,24,100,7,19,5,-14,48,48,285,159,-126,185,44,-141,-236,"3,804",-5.84%
,אשדוד,74,125,"2,472",32,23,9,..,4,5,..,..,18,18,151,128,-23,64,35,-29,82,"2,554",3.33%
,אשדוד,75,126,"3,861",55,66,-11,23,6,26,13,-13,59,59,263,230,-33,119,68,-51,-85,"3,776",-2.20%
,אשדוד,76,131,"2,166",31,13,18,7,..,-,..,..,8,8,149,104,-45,68,54,-14,-36,"2,130",-1.67%
,אשדוד,77,132,"1,773",19,29,-10,..,6,7,..,-6,8,8,76,90,14,40,30,-10,13,"1,786",0.71%
,אשדוד,78,133,"3,994",51,40,11,19,12,20,4,-16,63,63,241,211,-30,111,69,-42,-40,"3,953",-1.01%
,אשדוד,79,141,"5,929",212,8,204,..,-,7,8,..,142,142,184,134,-50,150,79,-71,-40,"5,888",-0.68%
,אשדוד,80,142,"3,365",141,18,123,..,-,10,..,-7,38,38,216,149,-67,78,50,-28,21,"3,387",0.64%
