שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אחווה,1157,AHAWA,6,61,611,33,143,1,322,322,312,,1976,350,,1782162796,61,616,10001821,2020,Ahawa,420
אחוזם,821,AHUZZAM,6,61,612,50,,1,541,538,518,3,1950,310,2,1782260687,169,634,10001813,2020,Ahuzzam,
אחוזת ברק,1330,AHUZZAT BARAQ,2,23,234,9,,1,2391,2391,2324,,1998,190,19,2320072762,156,254,10004394,2020,Ahuzzat Baraq,213
אחיהוד,785,AHIHUD,2,24,246,4,241,1,912,912,901,,1950,310,1,2165275698,47,201,10004315,2020,Ahihud,212
אחיטוב,850,AHITUV,4,41,412,16,141,1,1080,1080,1069,,1951,310,1,1993269934,42,409,15000060,2020,Ahituv,
אחיסמך,804,AHISAMAKH,4,43,432,25,142,1,1405,1405,1401,,1950,310,1,1914164919,69,424,10002261,2020,Ahisamakh,
אחיעזר,797,AHI'EZER,4,43,432,40,133,1,1978,1978,1971,,1950,310,2,1879365441,40,425,10002261,2020,Ahi'ezer,
אטרש (שבט),965,ATRASH,6,62,623,,,3,,,,,,460,,1940057520,,699,10001937,2020,Atrash,
איבים,338,IBBIM,6,61,614,37,,1,651,651,130,,1991,340,,1629760477,84,651,10001829,2020,Ibbim,620
אייל,716,EYAL,4,42,421,20,141,1,535,535,528,,1949,330,15,1982667982,76,417,10004769,2020,Eyal,410
איילת השחר,77,AYYELET HASHAHAR,2,21,211,1,,1,1148,1148,1089,,1918,330,15,2541876990,171,253,10004540,2020,Ayyelet HaShahar,211
אילון,294,ELON,2,24,244,4,,1,1055,1049,1024,6,1938,330,15,2206177423,288,201,10004302,2020,Elon,212
אילון תבור*,1716,,2,23,233,9,,,,,,,,520,,2343272675,231,254,10004394,2020,,213
אילות,1126,ELOT,6,62,625,53,,1,341,339,311,2,1962,330,15,1960438820,70,608,10001955,2020,Elot,610
אילנייה,49,ILANIYYA,2,22,222,3,,1,488,485,466,4,1902,310,10,2384773998,236,206,10004552,2020,Ilaniyya,214
אילת,2600,ELAT,6,62,625,0,,1,52519,50136,41790,2382,1951,150,,1941438506,164,602,10001955,2020,Elat,
אירוס,1336,IRUS,4,44,442,27,143,1,729,729,719,,2013,370,,1790064853,46,456,15002488,2020,Irus,
איתמר,3762,ITAMAR,7,72,,72,,1,1285,1284,1277,1,1984,370,11,2292167559,614,710,15004488,2020,Itamar,
איתן,37,ETAN,6,61,612,34,,1,490,490,488,,1955,310,2,1761460898,156,631,10001813,2020,Etan,
איתנים,886,ETANIM,1,11,111,26,444,1,60,59,57,1,1952,340,,2091163181,749,151,15000597,2020,Etanim,
אכסאל,478,IKSAL,2,23,237,99,,2,14939,9,3,14930,,270,,2307173191,125,257,10004394,2020,Iksal,213
אל -עזי,1339,AL-AZY,6,61,611,35,,2,201,1,1,200,,450,,1809962556,93,632,10001821,2020,Al-Azy,420
אל -עריאן,1316,AL-ARYAN,3,32,323,14,,2,189,,,189,,450,,2120271154,364,351,10004233,2020,Al-Aryan,
אל -רום,4003,EL-ROM,2,29,292,71,,1,416,416,395,,1971,330,15,2723278740,1049,219,10004579,2020,El-Rom,211
אל סייד,1359,AL SAYYID,6,62,623,69,342,2,6084,21,13,6063,,280,,1917857711,376,624,10001937,2020,Al Sayyid,610
