סמל יישוב ,שם יישוב,אזור סטטיסטי,מין,"סה""כ",4-0,9-5,14-10,19-15,24-20,29-25,34-30,39-35,44-40,49-45,54-50,59-55,64-60,+65
505,כאוכב אבו אל-היג'א,,גברים,"1,826",165,181,179,184,162,133,134,107,116,112,113,76,49,115
505,כאוכב אבו אל-היג'א,,נשים,"1,842",154,187,149,181,147,152,129,112,129,128,98,78,57,141
1367,כחלה,,"סה""כ",439,59,64,44,31,41,46,39,25,17,14,15,13,16,14
1367,כחלה,,גברים,229,35,30,26,13,17,25,22,15,8,10,7,7,6,8
1367,כחלה,,נשים,210,24,33,18,18,24,21,17,10,10,4,8,6,10,6
1331,כמאנה,,"סה""כ","1,570",141,145,170,149,152,156,99,108,103,86,74,62,40,83
1331,כמאנה,,גברים,800,65,70,89,79,75,77,55,62,55,44,37,34,22,36
1331,כמאנה,,נשים,770,76,75,82,70,77,79,44,46,49,42,37,29,17,48
1059,כסיפה,,"סה""כ","22,484","3,973","3,250","2,943","2,629","2,152","1,735","1,344","1,089",879,750,541,432,270,499
1059,כסיפה,,גברים,"11,250","2,074","1,646","1,514","1,347","1,079",878,651,536,416,355,234,198,116,207
1059,כסיפה,,נשים,"11,234","1,900","1,604","1,429","1,282","1,073",857,693,553,463,395,307,233,154,292
1296,כסרא-סמיע,,"סה""כ","8,965",926,888,908,888,799,852,681,635,574,472,382,326,219,414
1296,כסרא-סמיע,,גברים,"4,563",467,478,495,427,409,417,357,334,290,240,192,165,103,190
1296,כסרא-סמיע,,נשים,"4,402",459,409,413,462,390,435,325,301,284,233,190,161,116,224
978,כעביה-טבאש-חג'אג'רה,,"סה""כ","5,624",624,587,553,581,559,505,411,302,318,288,261,223,159,252
978,כעביה-טבאש-חג'אג'רה,,גברים,"2,825",303,288,279,284,309,258,213,165,160,146,133,116,62,111
978,כעביה-טבאש-חג'אג'רה,,נשים,"2,799",321,299,274,298,251,247,198,137,158,142,128,107,97,140
633,כפר ברא,,"סה""כ","3,754",443,395,376,416,441,339,269,166,189,199,163,139,84,136
633,כפר ברא,,גברים,"1,870",214,212,173,205,226,170,143,83,81,99,95,68,43,57
633,כפר ברא,,נשים,"1,884",229,182,204,211,215,169,126,83,108,100,67,71,40,79
507,כפר יאסיף,,"סה""כ","10,244",837,815,795,870,820,906,715,691,684,613,597,558,455,889
507,כפר יאסיף,,גברים,"5,133",468,407,391,489,425,458,328,333,341,298,298,269,210,416
507,כפר יאסיף,,נשים,"5,111",369,408,404,381,395,448,387,358,343,314,298,289,245,473
508,כפר כמא,,"סה""כ","3,426",244,266,217,262,278,291,261,223,237,199,170,164,170,444
508,כפר כמא,,גברים,"1,705",123,134,115,126,142,140,136,110,112,102,85,95,81,203
508,כפר כמא,,נשים,"1,722",121,131,102,136,135,150,125,113,125,97,86,70,90,241
509,כפר כנא,,"סה""כ","23,265","2,396","2,300","2,322","2,437","2,297","2,041","1,587","1,244","1,344","1,316","1,087",924,718,"1,252"
509,כפר כנא,,גברים,"11,879","1,261","1,182","1,142","1,224","1,217","1,059",825,611,681,700,557,454,353,614
509,כפר כנא,,נשים,"11,385","1,135","1,118","1,180","1,213","1,080",982,762,633,663,616,530,470,364,638
510,כפר מנדא,,"סה""כ","20,622","2,298","2,242","2,035","2,241","2,171","1,970","1,493","1,204","1,113","1,004",856,716,482,799
510,כפר מנדא,,גברים,"10,785","1,210","1,162","1,044","1,155","1,111","1,060",823,653,614,529,440,351,235,399
510,כפר מנדא,,נשים,"9,837","1,087","1,080",991,"1,086","1,060",910,670,551,499,475,417,365,246,400
512,כפר מצר,,"סה""כ","2,778",265,234,291,318,301,234,175,144,177,157,149,111,92,130
512,כפר מצר,,גברים,"1,448",134,133,144,168,166,130,92,82,86,80,75,57,39,62
512,כפר מצר,,נשים,"1,330",130,102,147,150,135,104,83,61,91,77,74,54,53,68
634,כפר קאסם,,"סה""כ","24,256","2,669","2,421","2,450","2,676","2,409","2,176","1,649","1,337","1,372","1,340","1,122",961,640,"1,034"
634,כפר קאסם,,גברים,"12,430","1,354","1,248","1,262","1,386","1,245","1,125",850,652,749,686,589,491,325,469
634,כפר קאסם,,נשים,"11,827","1,315","1,173","1,188","1,290","1,164","1,051",799,686,623,655,533,471,315,565
654,כפר קרע,,"סה""כ","19,294","1,801","1,730","1,757","1,802","1,752","1,794","1,419","1,203","1,151","1,098","1,037",904,690,"1,157"
654,כפר קרע,,גברים,"9,790",953,894,898,917,908,888,703,598,586,566,548,438,359,534
654,כפר קרע,,נשים,"9,505",848,836,859,885,844,906,717,605,566,532,489,466,331,623
1060,לקיה,,"סה""כ","14,642","2,430","2,060","1,793","1,743","1,427","1,117",830,697,663,587,421,319,191,364
1060,לקיה,,גברים,"7,303","1,230","1,053",901,871,722,569,423,334,319,279,211,140,90,161
1060,לקיה,,נשים,"7,339","1,201","1,007",892,872,705,548,407,363,345,308,210,178,101,202
516,מג'ד אל-כרום,,"סה""כ","15,447","1,226","1,418","1,587","1,624","1,536","1,309","1,064",926,984,981,792,664,476,860
516,מג'ד אל-כרום,,גברים,"7,897",629,713,832,842,762,724,507,465,472,532,409,340,255,414
516,מג'ד אל-כרום,,נשים,"7,550",597,706,755,782,774,586,557,461,512,448,383,324,221,446
4201,מג'דל שמס,,"סה""כ","11,267",794,896,989,"1,017",917,869,699,745,906,919,687,537,418,872
4201,מג'דל שמס,,גברים,"5,712",426,437,505,538,489,442,344,368,433,470,353,286,201,420
4201,מג'דל שמס,,נשים,"5,555",368,459,484,479,428,427,356,377,474,448,334,252,217,452
481,מגאר,,"סה""כ","23,275","2,062","1,954","1,985","2,090","2,166","2,247","1,884","1,638","1,540","1,343","1,162","1,116",717,"1,371"
481,מגאר,,גברים,"12,005","1,056","1,018","1,030","1,026","1,131","1,167","1,032",892,816,675,586,557,381,639
481,מגאר,,נשים,"11,270","1,006",937,956,"1,064","1,035","1,080",852,746,724,669,576,558,336,733
635,מוקייבלה,,"סה""כ","4,135",490,440,403,456,438,352,281,226,231,226,188,146,93,167
635,מוקייבלה,,גברים,"2,086",235,248,210,239,212,175,137,110,114,116,96,68,47,80
635,מוקייבלה,,נשים,"2,049",256,192,193,217,226,177,144,116,117,109,92,78,46,87
517,מזרעה,,"סה""כ","3,998",400,298,255,304,322,454,349,255,185,210,206,250,214,295
517,מזרעה,,גברים,"2,025",225,148,127,166,160,211,199,146,90,101,76,115,116,145
517,מזרעה,,נשים,"1,973",175,150,128,138,163,243,150,109,95,109,130,135,99,150
649,מייסר,,"סה""כ","2,072",205,193,206,216,207,165,134,111,150,122,101,86,60,116
649,מייסר,,גברים,"1,020",101,89,94,96,112,79,68,57,83,70,49,45,32,46
649,מייסר,,נשים,"1,052",104,104,112,120,95,86,66,54,67,52,52,42,28,69
1343,מכחול,,"סה""כ",994,158,122,102,112,91,96,71,54,45,39,31,16,31,24
1343,מכחול,,גברים,490,82,50,46,54,51,56,36,22,26,21,12,6,12,15
1343,מכחול,,נשים,503,77,72,56,58,40,40,35,32,19,18,19,10,19,9
994,מנשית זבדה,,"סה""כ","1,424",185,171,121,123,122,159,120,63,76,69,65,63,38,51
994,מנשית זבדה,,גברים,712,102,86,59,61,59,67,64,36,41,32,27,34,19,24
994,מנשית זבדה,,נשים,713,83,85,62,61,63,92,55,27,35,36,38,30,18,28
4203,מסעדה,,"סה""כ","3,753",272,365,379,333,298,249,244,238,322,298,194,156,127,278
4203,מסעדה,,גברים,"1,912",147,200,188,178,146,112,120,112,177,146,112,77,64,133
4203,מסעדה,,נשים,"1,841",125,165,192,155,152,136,124,125,145,152,82,79,63,145
518,מעיליא,,"סה""כ","3,270",215,206,228,255,228,220,209,184,221,219,212,168,143,561
518,מעיליא,,גברים,"1,623",103,116,122,141,126,109,104,83,104,106,114,84,77,234
518,מעיליא,,נשים,"1,647",112,90,106,114,103,112,105,101,116,113,98,84,66,327
1327,מעלה עירון,,"סה""כ","15,380","1,484","1,416","1,468","1,678","1,680","1,312",989,808,920,911,781,702,444,787
1327,מעלה עירון,,גברים,"7,816",769,719,751,848,850,683,510,426,469,456,414,351,204,364
1327,מעלה עירון,,נשים,"7,564",715,696,717,829,830,630,478,382,451,455,367,351,240,423
520,משהד,,"סה""כ","8,486",869,913,817,846,850,805,636,522,466,410,364,304,256,427
520,משהד,,גברים,"4,387",471,456,439,435,446,398,360,282,247,212,179,146,126,190
520,משהד,,נשים,"4,099",398,457,378,410,404,408,276,240,220,198,185,159,130,237
524,נאעורה,,"סה""כ","2,347",262,232,259,270,193,194,146,144,165,126,104,83,62,109
524,נאעורה,,גברים,"1,199",143,127,134,124,95,102,68,62,97,66,60,37,31,53
